County,State,Population,Valid_ballots,Voter_turnout,Democrats,Republicans,Democrats_vote_share,Republicans_vote_share
Clayton County,Georgia,279333,92859,33.24311843,78220,12645,84.23523837,13.61741996
Clinch County,Georgia,6742,2455,36.41352714,686,1727,27.94297352,70.34623218
Cobb County,Georgia,748178,330819,44.2166169,160121,152912,48.4013917,46.22225447
Coffee County,Georgia,42908,13915,32.42984991,4094,9588,29.4214876,68.90406037
Colquitt County,Georgia,45429,13624,29.98965419,3463,9898,25.41837933,72.65120376
Columbia County,Georgia,147370,64743,43.9322793,18887,43085,29.17226573,66.54773489
Cook County,Georgia,17162,6057,35.29308938,1753,4176,28.94172032,68.94502229
Coweta County,Georgia,140497,61745,43.9475576,16583,42533,26.8572354,68.88492995
Crawford County,Georgia,12268,5176,42.19106619,1421,3635,27.45363215,70.22797527
Crisp County,Georgia,22905,7512,32.79633268,2837,4549,37.76624068,60.55644302
Dade County,Georgia,16224,6242,38.47386588,965,5051,15.45978853,80.91957706
Dawson County,Georgia,23668,11765,49.70846713,1448,9900,12.30769231,84.1478963
Decatur County,Georgia,26679,10286,38.55466847,4124,6020,40.09333074,58.52615205
DeKalb County,Georgia,746802,314757,42.14731616,251370,51468,79.86160753,16.35166176
Dodge County,Georgia,20854,7009,33.60985902,1839,5021,26.23769439,71.6364674
Dooly County,Georgia,13853,3859,27.85678192,1872,1951,48.50997668,50.55713916
Dougherty County,Georgia,90389,34087,37.71144719,23311,10232,68.38677502,30.01730865
Douglas County,Georgia,141664,57738,40.75700248,31005,24817,53.69947002,42.98209152
Early County,Georgia,10306,4785,46.42926451,2168,2552,45.30825496,53.33333333
Echols County,Georgia,3956,1182,29.87866532,156,1007,13.19796954,85.19458545
Effingham County,Georgia,58699,23458,39.9632021,4853,17874,20.6880382,76.19575411
Elbert County,Georgia,19136,7987,41.73808528,2539,5292,31.78915738,66.25766871
Emanuel County,Georgia,22406,7860,35.07988932,2435,5335,30.97964377,67.87531807
Evans County,Georgia,10648,3613,33.9312547,1130,2404,31.27594797,66.53750346
Fannin County,Georgia,25032,11812,47.18759987,1923,9632,16.28005418,81.54419235
Fayette County,Georgia,111218,60913,54.76901221,23284,35048,38.22500944,57.53779981
Floyd County,Georgia,96698,34608,35.78977849,9159,24114,26.4649792,69.67753121
Forsyth County,Georgia,220481,98221,44.54850985,23462,69851,23.88694882,71.11615642
Franklin County,Georgia,22316,8502,38.09822549,1243,7054,14.62008939,82.96871324
Fulton County,Georgia,1022866,431391,42.17473257,297051,117783,68.85887745,27.30307308
Gilmer County,Georgia,29911,12773,42.70335328,1965,10477,15.38401315,82.0245831
Glascock County,Georgia,2978,1390,46.67562122,138,1235,9.928057554,88.84892086
Glynn County,Georgia,84099,34263,40.74126922,11775,21512,34.36651782,62.78492835
Gordon County,Georgia,56933,18959,33.30054626,3181,15191,16.77831109,80.12553405
Grady County,Georgia,24869,9213,37.04612168,3013,6053,32.70378813,65.7006404
Greene County,Georgia,16869,8852,52.47495406,3199,5490,36.13872571,62.01988251
Gwinnett County,Georgia,904962,328331,36.28119192,166153,146989,50.60533425,44.7685415
Habersham County,Georgia,44104,16243,36.82885906,2483,13190,15.28658499,81.20421104
Hall County,Georgia,196159,70694,36.03913152,16180,51733,22.88737375,73.17877048
Hancock County,Georgia,8633,3580,41.46878258,2701,843,75.44692737,23.54748603
Haralson County,Georgia,28830,11357,39.39299341,1475,9585,12.98758475,84.39728802
Harris County,Georgia,33633,16502,49.06490649,4086,11936,24.76063507,72.33062659
Hart County,Georgia,25471,10117,39.71968121,2585,7286,25.55105268,72.01739646
Heard County,Georgia,11579,4223,36.47119786,743,3370,17.5941274,79.80108927
Henry County,Georgia,220896,98766,44.71153846,50057,45724,50.68242108,46.2952838
Houston County,Georgia,151622,60079,39.62419702,22553,35430,37.53890711,58.97235307
Irwin County,Georgia,9302,3670,39.45388089,891,2716,24.27792916,74.00544959
Jackson County,Georgia,65061,27190,41.79154947,4491,21784,16.51710188,80.11769033
Jasper County,Georgia,13767,6045,43.90934844,1544,4360,25.54177006,72.12572374
Jeff Davis County,Georgia,14965,5096,34.05278984,901,4104,17.68053375,80.53375196
